# Frequency (Hartree)   Sigma_Exact (a.u.)   Sigma_Train (a.u.)
-0.513126800086       0.000000000000             0.000000000000           
-0.492601728083       0.000000000000             0.000000000000           
-0.472076656079       134716.667605449911        134714.570760402188      
-0.451551584076       0.000000000000             0.000000000000           
-0.431026512073       4206.368873643922          4204.987887613458        
-0.410501440069       934.022210200068           923.790341563233         
-0.389976368066       1182.664180742347          1213.269801236912        
-0.369451296062       1063.171546136213          1031.429453792358        
-0.348926224059       891.401098149065           903.443359684824         
-0.328401152055       696.753962964857           690.923886765289         
-0.307876080052       491.665763305897           498.714857342853         
-0.287351008048       285.131805273398           316.988460188240         
-0.266825936045       84.689772240349            0.000000000000           
-0.246300864041       0.000000000000             0.000000000000           
-0.225775792038       0.000000000000             0.000000000000           
-0.205250720035       0.000000000000             0.000000000000           
-0.184725648031       0.000000000000             0.000000000000           
-0.164200576028       0.000000000000             0.000000000000           
-0.143675504024       0.000000000000             0.000000000000           
-0.123150432021       0.000000000000             0.000000000000           
-0.102625360017       0.000000000000             0.000000000000           
-0.082100288014       0.000000000000             0.000000000000           
-0.061575216010       0.000000000000             0.000000000000           
-0.041050144007       0.000000000000             0.000000000000           
-0.020525072003       0.000000000000             0.000000000000           
